api_method,api_path,page,control_id,control_type,control_desc,d1_table,d1_fields,required_auth,required_state
GET,/api/v1/parent/child/{id}/summary,家长成长卡,parent.child.summary,card,孩子学习摘要,student_tasks;lesson_accounts;voice_practice_records,studentId;score;status;remaining_hours;used_hours,是,loaded
GET,/api/v1/parent/child/{id}/courses,parent.child.courses,table,孩子课程表,course_enrollments;courses,student_id;course_id;enrollment_status,是,loaded
GET,/api/v1/parent/child/{id}/lesson-account,家长课时页,parent.child.lesson-account,card,课时与保留明细,lesson_accounts,student_id;purchased_hours;used_hours;hold_hours;remaining_hours;amount_cents;notes,是,loaded
GET,/api/v1/parent/child/{id}/payment-records,家长课时页,parent.child.payment-records,table,孩子缴费记录,payment_records,student_id;order_no;amount_cents;status;paid_at;notes,是,loaded
GET,/api/v1/parent/child/{id}/summary,家长首页,parent.child.today-tasks,list,今日任务,student_tasks,taskType;title;status;score;created_at,是,loaded
GET,/api/v1/parent/child/{id}/report-export,家长首页,parent.report.export,button,导出阶段报告并下载,student_tasks;lesson_accounts;payment_records;courses;voice_practice_records,studentId;course;attendance;payment;used_hours;remaining_hours;reportSummary,是,click
POST,/api/v1/ai/agent,个人中心,profile.parent-message.generate,button,生成家长版反馈,ai_audit_logs;ai_usage,action;payload;institutionId;request_id,是,loading
GET,/api/v1/student/report-export,个人中心,profile.report.export,button,导出用户阶段报告并下载,student_tasks;lesson_accounts;payment_records;courses;voice_practice_records,studentId;course;attendance;payment;used_hours;remaining_hours;reportSummary,是,click
GET,/api/v1/student/courses,个人中心,profile.quick.courses,button,个人中心入口查看课程,courses;course_enrollments,course_id;name;grade;class_type;start_time;duration_minutes;status;progress,是,click
GET,/api/v1/student/today-path,个人中心,profile.quick.practice,button,个人中心入口学习练习,today_tasks;courses,task_id;student_id;task_type;title;status;score;created_at,是,click
GET,/api/v1/student/lesson-account,个人中心,profile.quick.lesson-account,button,个人中心入口刷新课时,lesson_accounts,student_id;remaining_hours;used_hours;hold_hours;remaining_hours;amount_cents,是,click
GET,/api/v1/student/courses,个人中心,profile.course-clear,button,课程清单按钮进入课程页,courses;course_enrollments,course_id;name;grade;class_type;start_time;status;progress,是,click
POST,/api/v1/student/report-export,个人中心,profile.export-report,button,导出阶段报告,student_tasks;lesson_accounts;payment_records;courses;voice_practice_records,studentId;course;attendance;payment;used_hours;remaining_hours;reportSummary,是,click
GET,/api/v1/admin/culture-wall,个人中心,profile.open-culture-wall,button,个人中心学习档案入口,culture_wall_assets,institution_id;kind;title;status;media_key;media_url;created_at,是,click
POST,/api/v1/ai/agent,个人中心,profile.generate-feedback,button,生成家长反馈文本,ai_audit_logs;ai_usage,action;payload;institutionId;request_id,是,loading
GET,/api/v1/founder/cockpit,创始人驾驶舱,founder.cockpit,dashboard,驾驶舱核心指标,lessons;student_tasks;attendance_records;ai_usage,student_id;teacher_id;status;code,是,loaded
GET,/api/v1/founder/cockpit,创始人驾驶舱,founder.cockpit.refresh,button,刷新驾驶舱数据,lessons;student_tasks;attendance_records;ai_usage,courseStatus;leadStatus;paymentStatus;startAt;endAt,是,click
GET,/api/v1/founder/cockpit,创始人驾驶舱,founder.filters.course-status,select,课程状态筛选,lessons;courses,courseStatus,是,filter
GET,/api/v1/founder/cockpit,创始人驾驶舱,founder.filters.lead-status,select,线索状态筛选,leads,status,是,filter
GET,/api/v1/founder/cockpit,创始人驾驶舱,founder.filters.payment-status,select,收费状态筛选,payment_records,status,是,filter
GET,/api/v1/founder/cockpit,创始人驾驶舱,founder.filters.start-at,date-input,开始日期筛选,attendance_records;payment_records;leads,startAt,是,filter
GET,/api/v1/founder/cockpit,创始人驾驶舱,founder.filters.end-at,date-input,结束日期筛选,attendance_records;payment_records;leads,endAt,是,filter
GET,/api/v1/founder/courses,创始人课程与收费,founder.courses.list,table,课程管理列表,courses;course_enrollments;lesson_accounts,id;institution_id;grade;class_type;status;price_cents;enrolled_count,是,loaded
POST,/api/v1/founder/courses,创始人课程与收费,founder.courses.create,form,创建课程,courses,id;name;grade;class_type;course_type;teacher_id;price_cents;single_period_price;bundle_price;capacity;remaining_seats;start_time;start_date;end_date;weekday;time_slot;schedule;status,是,submitting
PATCH,/api/v1/founder/courses,创始人课程与收费,founder.courses.update,form,更新课程,courses,id;status;price_cents;remaining_seats;enrolled_count,是,submitting
GET,/api/v1/founder/payment-records,创始人财务页,founder.payment-records,table,收费记录查询,payment_records,order_no;amount_cents;status;paid_at;course_id;student_id,是,loaded
GET,/api/v1/founder/lesson-accounts,创始人课时页,founder.lesson-accounts.list,table,查看全部课时账户,lesson_accounts,student_id;purchased_hours;used_hours;hold_hours;remaining_hours;amount_cents;notes;expires_at,是,loaded
POST,/api/v1/founder/lesson-accounts,创始人课时页,founder.lesson-accounts.adjust,form,新增/调整课时,lesson_accounts,studentId;purchasedHours;amountCents;reason;expiresAt,是,submitting
GET,/api/v1/founder/ai-usage,创始人AI页,founder.ai-usage.overview,dashboard,查询AI用量与来源,ai_usage;ai_audit_logs,institutionId;agentCode;tokens_used;request_count;source;decision,是,loaded
GET,/api/v1/founder/attendance-records,创始人对账页,founder.attendance-records,table,查看到课打卡明细,attendance_records,course_id;student_id;teacher_id;status;attended_at;note;source_lesson_id,是,loaded
GET,/api/v1/founder/leads,创始人线索页,founder.leads.list,table,咨询线索列表,leads,status;student_grade;need_summary;updated_at;source,是,loaded
POST,/api/v1/founder/leads,创始人线索页,founder.leads.create,form,新增线索(内部),leads,guardianName;institutionId;studentGrade;needSummary;status;aiRecommendation,是,submitting
PATCH,/api/v1/founder/leads,创始人线索页,founder.leads.batch-update,form,批量更新状态,leads,leadId;status;studentGrade;needSummary;notes,是,submitting
PATCH,/api/v1/founder/leads/{leadId},创始人线索页,founder.leads.update,form,更新单条线索,leads,leadId;status;studentGrade;needSummary;aiRecommendation,是,submitting
POST,/api/v1/founder/leads/{leadId}/takeover,创始人线索页,founder.leads.takeover,button,人工接管咨询,lead_messages,leadId;actor_role;note;created_at,是,submitting
POST,/api/v1/founder/leads/{leadId}/convert,创始人线索页,founder.leads.convert,button,将咨询转学生并建课时,students;users;payment_records;course_enrollments,leadId;studentName;grade;courseId;paymentAmountCents;paymentMethod;enrollmentStatus,是,submitting
GET,/api/v1/institution/leads,机构线索台,inst.leads.list,table,查询机构线索列表,leads,institution_id;guardian_name;student_grade;status;need_summary;ai_recommendation;updated_at,是,loaded
POST,/api/v1/institution/leads,机构线索台,inst.leads.create,form,新增机构线索,leads,institutionId;guardianName;studentGrade;needSummary;status;aiRecommendation,是,submitting
PATCH,/api/v1/institution/leads,机构线索台,inst.leads.update,form,更新机构线索状态与内容,leads,id;status;studentGrade;needSummary;aiRecommendation,是,submitting
GET,/api/v1/institution/lessons,机构课次台,inst.lessons.list,table,查询机构课次列表,lessons,institution_id;student_id;teacher_id;topic;status;hours_used;teacher_note;parent_feedback,是,loaded
POST,/api/v1/institution/lessons,机构课次台,inst.lessons.create,form,新增机构课次,lessons,institutionId;studentId;teacherId;topic;status;hoursUsed;teacherNote;parentFeedback;autoConsumeHours,是,submitting
PATCH,/api/v1/institution/lessons,机构课次台,inst.lessons.update,form,更新机构课次内容,lessons,id;status;teacherNote;parentFeedback,是,submitting
GET,/api/v1/institution/students,机构学员台,inst.students.list,table,查询机构学员列表,students,institution_id;guardian_id;teacher_id;name;grade;weakness_points;renewal_risk,是,loaded
POST,/api/v1/institution/students,机构学员台,inst.students.create,form,新增机构学员,students,institutionId;name;grade;guardianId;guardianName;guardianPhone;guardianWechat;teacherId;weaknessPoints;renewalRisk,是,submitting
PATCH,/api/v1/institution/students,机构学员台,inst.students.update,form,更新机构学员信息,students,id;name;grade;teacherId;weaknessPoints;renewalRisk,是,submitting
GET,/api/v1/institution/teachers,机构老师台,inst.teachers.list,table,查询机构老师列表,users,institution_id;username;name;phone;email;status,是,loaded
POST,/api/v1/institution/teachers,机构老师台,inst.teachers.create,form,新增机构老师,users,institutionId;id;username;password;name;phone;email;status,是,submitting
PATCH,/api/v1/institution/teachers,机构老师台,inst.teachers.update,form,更新机构老师信息,users,id;status;phone;email;name,是,submitting
GET,/api/v1/institution/payments,机构收费台,inst.payments.list,table,查询机构收费记录,payment_records,institution_id;order_no;plan_code;plan_mode;amount_cents;status;paid_at;expires_at,是,loaded
POST,/api/v1/institution/payments,机构收费台,inst.payments.create,form,新增机构收费记录,payment_records,institutionId;orderNo;userId;planCode;planMode;periodDays;currency;status;amountCents,是,submitting
PATCH,/api/v1/institution/payments,机构收费台,inst.payments.update,form,更新机构收费记录,payment_records,id;status;paidAt;startsAt;expiresAt,是,submitting
GET,/api/v1/admin/institutions,平台后台,admin.institutions.list,table,机构列表,institutions,id;name;status;plan_code;student_limit;teacher_limit;ai_limit_monthly;subscription_ends_at,是,loaded
GET,/api/v1/admin/institutions,平台后台,admin.institutions.refresh,button,刷新机构列表,institutions,id;name;status;plan_code;student_limit;teacher_limit;ai_limit_monthly;subscription_ends_at,是,click
GET,/api/v1/admin/institutions,平台后台,admin.overview.warning-check,button,今日异常机构检查,institutions,id;name;status;plan_code;student_limit;teacher_limit;ai_limit_monthly;subscription_ends_at,是,click
GET,/api/v1/admin/institutions-export,平台后台,admin.overview.export,button,导出运营周报,institutions,id;name;status;plan_code;student_limit;teacher_limit;ai_limit_monthly;subscription_ends_at,是,click
PATCH,/api/v1/admin/institutions,平台后台,admin.institutions.update,form,更新机构状态与配额,institutions,institutionId;status;planCode;planMode;studentLimit;teacherLimit;aiLimitMonthly;trialEndsAt,是,submitting
POST,/api/v1/admin/institutions,平台后台,admin.institutions.create,form,创建/同步机构,institutions,id;name;status;plan_code;plan_mode;student_limit;teacher_limit,是,submitting
GET,/api/v1/admin/culture-wall,平台后台,culture-wall.list,table,素材库列表,culture_wall_assets,institution_id;kind;title;status;media_key;media_url;created_at,是,loaded
POST,/api/v1/admin/culture-wall,平台后台,culture-wall.upload,upload,新增素材,culture_wall_assets,institution_id;kind;title;media_key;media_url;cover_url;payload,是,uploading
DELETE,/api/v1/admin/culture-wall,平台后台,culture-wall.delete,button,删除素材,culture_wall_assets,institution_id;id,是,submitting
GET,/api/v1/admin/ai-audit,平台后台,admin.ai-audit,table,AI 审计查询,ai_audit_logs,institution_id;action;decision;latency_ms;user_id;request_id,是,loaded
GET,/api/v1/admin/ai-audit,平台后台,admin.ai-audit.refresh,button,刷新AI审计,ai_audit_logs,institution_id;action;decision;latency_ms;user_id;request_id,是,click
GET,/api/v1/admin/ai-audit-export,平台后台,admin.ai-audit.export,button,导出当前审计列表,ai_audit_logs,institution_id;action;decision;latency_ms;user_id;request_id,是,click
GET,/api/v1/admin/ai-usage,平台后台,admin.ai-usage,table,AI 用量查询,ai_usage,institution_id;agent_code;tokens_used;created_at,user_id,是,loaded
GET,/api/v1/admin/ai-usage,平台后台,admin.ai-usage.refresh,button,刷新AI用量,ai_usage,institution_id;agent_code;tokens_used;created_at,user_id,是,click
GET,/api/v1/admin/ai-usage-export,平台后台,admin.ai-usage.export,button,导出机构用量,ai_usage,institution_id;agent_code;tokens_used;created_at,user_id,是,click
POST,/api/v1/ai/agent,公共/运营工具,ai.agent.call,button,触发 AI 智能体接口,ai_audit_logs;ai_usage,action;payload;institutionId;request_id,是,loading
GET,/api/v1/institution/permissions,平台后台,permission.list,table,权限码查询,user_permissions,userId;permission_code,是,loaded
POST,/api/v1/institution/permissions,平台后台,permission.grant,form,授权角色/权限码,user_permissions,userId;permission_code,是,submitting
DELETE,/api/v1/institution/permissions,平台后台,permission.revoke,button,撤销权限码,user_permissions,userId;permission_code,是,submitting
